company_name,ticker,esg_score,risk_level,page_number,exchange,clean_ticker,risk_category
"1-800-FLOWERS.COM, Inc.",NAS:FLWS,22.6,Medium ESG Risk,1,NAS,FLWS,Medium Risk
"10X Genomics, Inc.",NAS:TXG,22.5,Medium ESG Risk,1,NAS,TXG,Medium Risk
1st Source Corp.,NAS:SRCE,35.0,High ESG Risk,1,NAS,SRCE,High Risk
23andMe Holding Co.,NAS:ME,21.4,Medium ESG Risk,1,NAS,ME,Medium Risk
"2seventy Bio, Inc.",NAS:TSVT,35.9,High ESG Risk,1,NAS,TSVT,High Risk
"374Water, Inc.",NAS:SCWO,29.2,Medium ESG Risk,2,NAS,SCWO,Medium Risk
3D Systems Corp.,NYS:DDD,19.5,Low ESG Risk,2,NYS,DDD,Low Risk
3M Co.,NYS:MMM,40.7,Severe ESG Risk,2,NYS,MMM,High Risk
"4D Molecular Therapeutics, Inc.",NAS:FDMT,27.4,Medium ESG Risk,3,NAS,FDMT,Medium Risk
"5E Advanced Materials, Inc.",NAS:FEAM,42.0,Severe ESG Risk,3,NAS,FEAM,High Risk
"89bio, Inc.",NAS:ETNB,32.9,High ESG Risk,4,NAS,ETNB,High Risk
"8x8, Inc.",NAS:EGHT,29.9,Medium ESG Risk,4,NAS,EGHT,Medium Risk
"908 Devices, Inc.",NAS:MASS,30.2,High ESG Risk,4,NAS,MASS,High Risk
"A-Mark Precious Metals, Inc.",NAS:AMRK,30.3,High ESG Risk,4,NAS,AMRK,High Risk
A. O. Smith Corp.,NYS:AOS,26.8,Medium ESG Risk,4,NYS,AOS,Medium Risk
"A10 Networks, Inc.",NYS:ATEN,20.5,Medium ESG Risk,5,NYS,ATEN,Medium Risk
"Aadi Bioscience, Inc.",NAS:AADI,26.4,Medium ESG Risk,5,NAS,AADI,Medium Risk
"AAON, Inc.",NAS:AAON,21.5,Medium ESG Risk,6,NAS,AAON,Medium Risk
AAR Corp.,NYS:AIR,33.0,High ESG Risk,6,NYS,AIR,High Risk
Abbott Laboratories,NYS:ABT,22.2,Medium ESG Risk,7,NYS,ABT,Medium Risk
"AbbVie, Inc.",NYS:ABBV,26.1,Medium ESG Risk,7,NYS,ABBV,Medium Risk
"AbCellera Biologics, Inc.",NAS:ABCL,28.7,Medium ESG Risk,7,NAS,ABCL,Medium Risk
Abercrombie & Fitch Co.,NYS:ANF,16.6,Low ESG Risk,8,NYS,ANF,Low Risk
"ABM Industries, Inc.",NYS:ABM,14.3,Low ESG Risk,9,NYS,ABM,Low Risk
Acacia Research Corp.,NAS:ACTG,18.8,Low ESG Risk,10,NAS,ACTG,Low Risk
"Academy Sports & Outdoors, Inc.",NAS:ASO,15.9,Low ESG Risk,11,NAS,ASO,Low Risk
"Acadia Healthcare Co., Inc.",NAS:ACHC,29.2,Medium ESG Risk,11,NAS,ACHC,Medium Risk
"ACADIA Pharmaceuticals, Inc.",NAS:ACAD,24.1,Medium ESG Risk,11,NAS,ACAD,Medium Risk
Acadia Realty Trust,NYS:AKR,13.9,Low ESG Risk,11,NYS,AKR,Low Risk
"Accel Entertainment, Inc.",NYS:ACEL,19.5,Low ESG Risk,11,NYS,ACEL,Low Risk
Accenture Plc,NYS:ACN,11.9,Low ESG Risk,12,NYS,ACN,Low Risk
ACCO Brands Corp.,NYS:ACCO,5.7,Negligible ESG Risk,12,NYS,ACCO,Low Risk
"Accolade, Inc.",NAS:ACCD,20.6,Medium ESG Risk,12,NAS,ACCD,Medium Risk
"Accuray, Inc.",NAS:ARAY,31.6,High ESG Risk,13,NAS,ARAY,High Risk
"ACI Worldwide, Inc.",NAS:ACIW,22.4,Medium ESG Risk,13,NAS,ACIW,Medium Risk
"Aclaris Therapeutics, Inc.",NAS:ACRS,32.7,High ESG Risk,14,NAS,ACRS,High Risk
"ACM Research, Inc.",NAS:ACMR,32.1,High ESG Risk,14,NAS,ACMR,High Risk
ACNB Corp.,NAS:ACNB,30.6,High ESG Risk,14,NAS,ACNB,High Risk
"Acrivon Therapeutics, Inc.",NAS:ACRV,35.8,High ESG Risk,14,NAS,ACRV,High Risk
"Acuity Brands, Inc.",NYS:AYI,18.0,Low ESG Risk,15,NYS,AYI,Low Risk
Acushnet Holdings Corp.,NYS:GOLF,13.7,Low ESG Risk,15,NYS,GOLF,Low Risk
"ACV Auctions, Inc.",NAS:ACVA,30.0,Medium ESG Risk,15,NAS,ACVA,Medium Risk
AdaptHealth Corp.,NAS:AHCO,35.2,High ESG Risk,17,NAS,AHCO,High Risk
Adaptive Biotechnologies Corp.,NAS:ADPT,18.9,Low ESG Risk,17,NAS,ADPT,Low Risk
Addus HomeCare Corp.,NAS:ADUS,18.5,Low ESG Risk,18,NAS,ADUS,Low Risk
Adecoagro SA,NYS:AGRO,27.6,Medium ESG Risk,18,NYS,AGRO,Medium Risk
"Adeia, Inc.",NAS:ADEA,31.6,High ESG Risk,18,NAS,ADEA,High Risk
"Adicet Bio, Inc.",NAS:ACET,26.6,Medium ESG Risk,18,NAS,ACET,Medium Risk
Adient plc,NYS:ADNT,13.0,Low ESG Risk,19,NYS,ADNT,Low Risk
"ADMA Biologics, Inc.",NAS:ADMA,34.5,High ESG Risk,19,NAS,ADMA,High Risk
"Adobe, Inc.",NAS:ADBE,14.1,Low ESG Risk,20,NAS,ADBE,Low Risk
ADS-TEC Energy Plc,NAS:ADSE,28.5,Medium ESG Risk,20,NAS,ADSE,Medium Risk
"ADT, Inc.",NYS:ADT,22.4,Medium ESG Risk,20,NYS,ADT,Medium Risk
"Adtalem Global Education, Inc.",NYS:ATGE,12.1,Low ESG Risk,20,NYS,ATGE,Low Risk
"ADTRAN Holdings, Inc.",NAS:ADTN,22.1,Medium ESG Risk,20,NAS,ADTN,Medium Risk
"Advance Auto Parts, Inc.",NYS:AAP,10.7,Low ESG Risk,21,NYS,AAP,Low Risk
"Advanced Drainage Systems, Inc.",NYS:WMS,24.8,Medium ESG Risk,21,NYS,WMS,Medium Risk
"Advanced Energy Industries, Inc.",NAS:AEIS,17.8,Low ESG Risk,21,NAS,AEIS,Low Risk
"Advanced Micro Devices, Inc.",NAS:AMD,13.8,Low ESG Risk,22,NAS,AMD,Low Risk
"Advansix, Inc.",NYS:ASIX,21.6,Medium ESG Risk,23,NYS,ASIX,Medium Risk
"Advantage Solutions, Inc. (California)",NAS:ADV,20.5,Medium ESG Risk,23,NAS,ADV,Medium Risk
AECOM,NYS:ACM,27.0,Medium ESG Risk,24,NYS,ACM,Medium Risk
Aehr Test Systems,NAS:AEHR,22.2,Medium ESG Risk,24,NAS,AEHR,Medium Risk
AerCap Holdings NV,NYS:AER,17.8,Low ESG Risk,26,NYS,AER,Low Risk
"Aerovate Therapeutics, Inc.",NAS:AVTE,30.3,High ESG Risk,27,NAS,AVTE,High Risk
"AeroVironment, Inc.",NAS:AVAV,31.3,High ESG Risk,27,NAS,AVAV,High Risk
AerSale Corp.,NAS:ASLE,27.7,Medium ESG Risk,27,NAS,ASLE,Medium Risk
"Aeva Technologies, Inc.",NYS:AEVA,37.2,High ESG Risk,27,NYS,AEVA,High Risk
"AFC Gamma, Inc.",NAS:AFCG,26.3,Medium ESG Risk,28,NAS,AFCG,Medium Risk
