company_name,ticker,esg_score,risk_level,page_number
"1-800-FLOWERS.COM, Inc.",NAS:FLWS,22.6,Medium ESG Risk,1
1&1 AG,ETR:1U1,27.7,Medium ESG Risk,1
"10X Genomics, Inc.",NAS:TXG,22.5,Medium ESG Risk,1
11 Bit Studios SA,WAR:11B,16.3,Low ESG Risk,1
1st Source Corp.,NAS:SRCE,35,High ESG Risk,1
2020 Bulkers Ltd.,OSL:2020,24.4,Medium ESG Risk,1
23andMe Holding Co.,NAS:ME,21.4,Medium ESG Risk,1
29metals Ltd.,ASX:29M,38.5,High ESG Risk,1
2i Rete Gas SpA,-,22.3,Medium ESG Risk,1
"2seventy Bio, Inc.",NAS:TSVT,35.9,High ESG Risk,1
"2U, Inc.",-,26.8,Medium ESG Risk,2
360 One Wam Ltd.,BOM:542772,33.3,High ESG Risk,2
"360 Security Technology, Inc.",SHG:601360,22.1,Medium ESG Risk,2
361 Degrees International Ltd.,HKG:1361,18.1,Low ESG Risk,2
37 Interactive Entertainment Network Technology Group Co. Ltd.,SHE:002555,13.7,Low ESG Risk,2
"374Water, Inc.",NAS:SCWO,29.2,Medium ESG Risk,2
"3D Medicines, Inc.",HKG:1244,32.4,High ESG Risk,2
3D Systems Corp.,NYS:DDD,19.5,Low ESG Risk,2
3i Group Plc,LON:III,8.9,Negligible ESG Risk,2
3M Co.,NYS:MMM,40.7,Severe ESG Risk,2
3M India Ltd.,BOM:523395,21.2,Medium ESG Risk,3
"3peak, Inc.",SHG:688536,20.2,Medium ESG Risk,3
3R Petroleum Óleo e Gás SA,BSP:BRAV3,56.7,Severe ESG Risk,3
"3SBio, Inc.",HKG:1530,24,Medium ESG Risk,3
407 East Development Group GP,-,44,Severe ESG Risk,3
"407 International, Inc.",-,10.8,Low ESG Risk,3
"4D Molecular Therapeutics, Inc.",NAS:FDMT,27.4,Medium ESG Risk,3
4imprint Group Plc,LON:FOUR,16.5,Low ESG Risk,3
"5E Advanced Materials, Inc.",NAS:FEAM,42,Severe ESG Risk,3
5I5J Holding Group Co. Ltd.,SHE:000560,14.9,Low ESG Risk,3
"7-Eleven, Inc.",-,35.1,High ESG Risk,4
"89bio, Inc.",NAS:ETNB,32.9,High ESG Risk,4
"8x8, Inc.",NAS:EGHT,29.9,Medium ESG Risk,4
"908 Devices, Inc.",NAS:MASS,30.2,High ESG Risk,4
"91APP, Inc.",ROCO:6741,20.6,Medium ESG Risk,4
"A-Living Smart City Services Co., Ltd.",HKG:3319,13.3,Low ESG Risk,4
"A-Mark Precious Metals, Inc.",NAS:AMRK,30.3,High ESG Risk,4
A. O. Smith Corp.,NYS:AOS,26.8,Medium ESG Risk,4
A.G. BARR Plc,LON:BAG,26.7,Medium ESG Risk,4
A.P. Møller-Mærsk A/S,CSE:MAERSK.B,15.2,Low ESG Risk,4
"A10 Networks, Inc.",NYS:ATEN,20.5,Medium ESG Risk,5
A2A SpA,MIL:A2A,20,Medium ESG Risk,5
A2Dominion Housing Group Ltd.,-,16.6,Low ESG Risk,5
AA Ltd.,-,12.7,Low ESG Risk,5
"AAC Technologies Holdings, Inc.",HKG:2018,17.7,Low ESG Risk,5
"Aadi Bioscience, Inc.",NAS:AADI,26.4,Medium ESG Risk,5
AAEON Technology Inc.,TAI:6579,21.6,Medium ESG Risk,5
AAK AB,OME:AAK,27.1,Medium ESG Risk,5
Aalberts NV,AMS:AALB,21.5,Medium ESG Risk,5
Aamal Co. QSC,DSMD:AHCS,39.4,High ESG Risk,5
"AAON, Inc.",NAS:AAON,21.5,Medium ESG Risk,6
AAR Corp.,NYS:AIR,33,High ESG Risk,6
Aareal Bank AG,HAM:ARLN,18.1,Low ESG Risk,6
Aarti Drugs Ltd.,BOM:524348,34.9,High ESG Risk,6
AARTI Industries Ltd.,BOM:524208,22.6,Medium ESG Risk,6
Aavas Financiers Ltd.,BOM:541988,23.9,Medium ESG Risk,6
AB Dynamics Plc,LON:ABDP,15.4,Low ESG Risk,6
AB SA,WAR:ABE,24.6,Medium ESG Risk,6
Abacus Group,ASX:ABG,9.5,Negligible ESG Risk,6
Abacus Storage King,ASX:ASK,16.2,Low ESG Risk,6
ABANCA Corporación Bancaria SA,-,6.4,Negligible ESG Risk,7
ABB India Ltd.,BOM:500002,22.3,Medium ESG Risk,7
ABB Ltd.,SWX:ABBN,15.2,Low ESG Risk,7
Abbott Laboratories,NYS:ABT,22.2,Medium ESG Risk,7
"AbbVie, Inc.",NYS:ABBV,26.1,Medium ESG Risk,7
ABC arbitrage SA,PAR:ABCA,24.1,Medium ESG Risk,7
"ABC-MART, INC.",TKS:2670,19.9,Low ESG Risk,7
"AbCellera Biologics, Inc.",NAS:ABCL,28.7,Medium ESG Risk,7
"AbClon, Inc.",KRX:174900,32.5,High ESG Risk,7
Abdullah Al Othaim Markets Co.,SAU:4001,23.6,Medium ESG Risk,7
Abeille Vie SA,-,24.3,Medium ESG Risk,8
Abercrombie & Fitch Co.,NYS:ANF,16.6,Low ESG Risk,8
Abertis Infraestructuras SA,-,6.7,Negligible ESG Risk,8
ABG Sundal Collier Holding ASA,OSL:ABG,29.4,Medium ESG Risk,8
"Ability Enterprise Co., Ltd.",TAI:2374,16.1,Low ESG Risk,8
"Ability Opto-Electronics Technology Co., Ltd.",ROCO:3362,28.6,Medium ESG Risk,8
Abivax SA,PAR:ABVX,33.3,High ESG Risk,8
"ABL Bio, Inc.",KRX:298380,37.1,High ESG Risk,8
"ABLE C&C Co., Ltd.",KRX:078520,33.6,High ESG Risk,8
Abliva AB,OME:ABLI,29.2,Medium ESG Risk,8
"ABM Industries, Inc.",NYS:ABM,14.3,Low ESG Risk,9
ABN AMRO Bank NV,AMS:ABN,18.6,Low ESG Risk,9
"Aboitiz Equity Ventures, Inc.",PHS:AEV,43.4,Severe ESG Risk,9
Aboitiz Power Corp.,PHS:AP,27.3,Medium ESG Risk,9
Abou Kir Fertilizers,CAI:ABUK,37.7,High ESG Risk,9
ABOUT YOU Holding SE,ETR:YOU,16.3,Low ESG Risk,9
Abra Global Finance,-,35.1,High ESG Risk,9
abrdn European Logistics Income Plc,LON:ASLI,32.1,High ESG Risk,9
abrdn Plc,LON:ABDN,15.8,Low ESG Risk,9
abrdn Property Income Trust Ltd.,LON:API,11.3,Low ESG Risk,9
Absa Group Ltd.,JSE:ABG,25.4,Medium ESG Risk,10
Abu Dhabi Aviation Co.,ADS:ADAVIATION,31.8,High ESG Risk,10
Abu Dhabi Commercial Bank,ADS:ADCB,13,Low ESG Risk,10
Abu Dhabi Crude Oil Pipeline LLC,-,37.8,High ESG Risk,10
